user_id,movie_id
user_001,tt0109068
user_001,tt1605717
user_001,tt1487931
user_001,tt0499596
user_001,tt0293662
user_001,tt0103978
user_001,tt0107818
user_001,tt0092104
user_001,tt0088414
user_001,tt0166896
user_001,tt0110971
user_001,tt0091164
user_001,tt0111732
user_002,tt1458939
user_002,tt1059786
user_002,tt0096320
user_002,tt0089601
user_004,tt1415283
user_004,tt0250282
user_004,tt1605717
user_004,tt1533749
user_004,tt1031562
user_004,tt0120828
user_004,tt0095274
user_004,tt1253853
user_005,tt1222817
user_005,tt0151137
user_005,tt1285252
user_005,tt0114496
user_005,tt0164334
user_005,tt0120601
user_005,tt0101787
user_005,tt0209163
user_005,tt0402595
user_006,tt0775552
user_006,tt0095274
user_006,tt1285252
user_006,tt3060492
user_006,tt1045655
user_006,tt0317648
user_006,tt1623288
user_006,tt0243415
user_006,tt0106873
user_006,tt1244659
user_006,tt0090774
user_006,tt1622547
user_006,tt0814022
user_007,tt0446755
user_007,tt1277953
user_007,tt0437863
user_007,tt0342167
user_007,tt0089601
user_007,tt0091579
user_007,tt0101605
user_007,tt0120696
user_007,tt0154420
user_007,tt1613062
user_007,tt0101984
user_007,tt0107927
user_007,tt0120722
user_008,tt0113044
user_008,tt0091630
user_008,tt0814022
user_008,tt1582248
user_008,tt0100403
user_008,tt1244659
user_008,tt1272878
user_008,tt1464174
user_008,tt0250282
user_008,tt0120577
user_008,tt1129442
user_008,tt0279113
user_008,tt0423294
user_008,tt0097937
user_009,tt1620719
user_009,tt2184339
user_009,tt0095583
user_009,tt2066176
user_009,tt0918927
user_009,tt0477071
user_009,tt0098188
user_009,tt0120632
user_009,tt0431308
user_009,tt0102511
user_009,tt0830361
user_009,tt2310332
user_009,tt0099594
user_009,tt0086873
user_009,tt1059786
user_009,tt0085919
user_009,tt1179034
user_009,tt2212008
user_010,tt0092632
user_010,tt0115836
user_010,tt2106739
user_010,tt0116745
user_010,tt1122836
user_010,tt1691920
user_011,tt0104114
user_011,tt0108122
user_011,tt0100935
user_011,tt0337921
user_011,tt0085701
user_011,tt0120207
user_011,tt0120899
user_011,tt0316396
user_011,tt0098022
user_011,tt0090774
user_012,tt0108551
user_012,tt0109015
user_012,tt1258972
user_012,tt0120686
user_012,tt1620719
user_012,tt0323642
user_012,tt0085995
user_012,tt0191074
user_012,tt1726592
user_012,tt2387433
user_013,tt0486822
user_013,tt0115531
user_013,tt0089886
user_013,tt0095186
user_013,tt0113089
user_013,tt0093378
user_013,tt0298148
